school,thk,prethk,cc,gprethk,d,d2,d3,d4,d5
196,2,0,1,2.4838709831237793,1,0,2,1,4
196,2,1,1,2.4838709831237793,4,1,4,2,2
196,4,1,1,2.4838709831237793,3,2,2,4,4
196,3,1,1,2.4838709831237793,2,1,0,2,3
196,4,3,1,2.4838709831237793,1,1,4,4,2
196,3,3,1,2.4838709831237793,2,2,1,2,4
196,3,3,1,2.4838709831237793,0,3,2,2,0
196,4,3,1,2.4838709831237793,2,3,2,2,2
196,4,4,1,2.4838709831237793,2,2,2,0,2
196,3,2,1,2.4838709831237793,3,3,2,3,2
196,3,2,1,2.4838709831237793,4,2,4,2,3
196,4,3,1,2.4838709831237793,3,2,2,2,1
196,3,0,1,2.4838709831237793,1,2,1,4,3
196,4,2,1,2.4838709831237793,1,3,3,2,2
196,1,2,1,2.4838709831237793,4,2,3,2,3
196,1,3,1,2.4838709831237793,3,2,4,2,0
196,2,2,1,2.4838709831237793,3,2,1,0,2
196,4,3,1,2.4838709831237793,1,1,2,1,2
196,3,2,1,2.4838709831237793,1,4,3,3,1
196,4,4,1,2.4838709831237793,0,0,4,2,1
196,4,2,1,2.4838709831237793,0,1,1,2,2
196,3,3,1,2.4838709831237793,2,0,3,2,0
196,2,4,1,2.4838709831237793,2,2,1,2,3
196,4,5,1,2.4838709831237793,1,2,1,3,2
196,3,2,1,2.4838709831237793,2,3,2,0,0
196,3,4,1,2.4838709831237793,3,2,3,2,0
196,4,4,1,2.4838709831237793,3,2,1,2,1
196,3,3,1,2.4838709831237793,4,2,2,0,1
196,4,4,1,2.4838709831237793,2,3,0,2,0
197,1,2,0,2.047619104385376,4,1,4,2,3
197,1,0,0,2.047619104385376,4,1,4,2,0
197,2,1,0,2.047619104385376,2,2,1,1,2
197,4,3,0,2.047619104385376,2,2,0,3,2
197,3,4,0,2.047619104385376,3,2,4,2,2
197,3,4,0,2.047619104385376,3,0,2,3,2
197,1,1,0,2.047619104385376,2,0,1,1,1
197,2,2,0,2.047619104385376,2,2,1,2,1
197,3,3,0,2.047619104385376,3,3,3,1,4
197,4,3,0,2.047619104385376,3,2,2,4,2
197,3,1,0,2.047619104385376,3,2,4,2,4
197,3,3,0,2.047619104385376,2,2,3,3,0
197,1,1,0,2.047619104385376,0,0,3,4,1
197,2,2,0,2.047619104385376,3,3,2,1,2
197,3,2,0,2.047619104385376,2,2,0,4,3
197,4,0,0,2.047619104385376,2,3,2,3,2
197,2,1,0,2.047619104385376,3,1,1,2,2
197,2,3,0,2.047619104385376,3,2,2,3,3
197,1,2,0,2.047619104385376,0,2,1,4,1
197,2,1,0,2.047619104385376,2,4,1,3,2
197,1,2,0,2.047619104385376,3,2,1,3,1
197,4,2,0,2.047619104385376,2,2,3,2,2
197,4,1,0,2.047619104385376,3,3,0,2,2
197,2,2,0,2.047619104385376,2,2,1,2,0
197,1,1,0,2.047619104385376,2,0,4,1,0
197,2,0,0,2.047619104385376,1,3,1,3,4
197,1,2,0,2.047619104385376,0,1,3,2,3
197,1,2,0,2.047619104385376,2,4,1,1,2
197,1,1,0,2.047619104385376,3,1,3,3,2
197,4,5,0,2.047619104385376,0,2,3,1,2
197,1,2,0,2.047619104385376,2,2,2,3,2
197,1,3,0,2.047619104385376,1,2,4,1,2
197,4,2,0,2.047619104385376,2,4,3,2,0
197,4,4,0,2.047619104385376,2,2,1,0,2
197,1,3,0,2.047619104385376,2,4,4,2,0
197,4,1,0,2.047619104385376,2,1,2,0,3
197,2,3,0,2.047619104385376,4,2,1,1,2
197,2,2,0,2.047619104385376,2,2,3,2,2
197,4,3,0,2.047619104385376,2,2,0,2,3
197,3,3,0,2.047619104385376,3,3,2,0,4
197,2,3,0,2.047619104385376,2,2,2,1,4
197,1,0,0,2.047619104385376,2,2,2,0,2
198,4,5,1,2.115384578704834,2,2,2,4,2
198,3,1,1,2.115384578704834,4,1,1,3,2
198,1,0,1,2.115384578704834,2,2,1,0,1
198,1,5,1,2.115384578704834,0,2,2,2,2
198,3,4,1,2.115384578704834,0,1,3,3,4
198,4,2,1,2.115384578704834,3,2,1,4,2
198,4,3,1,2.115384578704834,4,2,2,1,1
198,4,2,1,2.115384578704834,3,2,3,0,2
198,2,1,1,2.115384578704834,3,3,2,2,2
198,1,1,1,2.115384578704834,4,1,4,2,2
198,1,1,1,2.115384578704834,1,0,4,2,0
198,3,0,1,2.115384578704834,2,2,2,0,2
198,4,3,1,2.115384578704834,1,2,3,2,2
198,2,1,1,2.115384578704834,0,1,1,3,2
198,3,3,1,2.115384578704834,2,3,4,3,3
198,1,0,1,2.115384578704834,2,2,3,0,0
198,2,1,1,2.115384578704834,2,3,2,3,3
198,2,2,1,2.115384578704834,3,2,2,2,3
198,4,2,1,2.115384578704834,3,3,1,1,1
198,4,2,1,2.115384578704834,3,3,2,2,3
198,2,2,1,2.115384578704834,2,3,2,2,2
198,1,2,1,2.115384578704834,2,2,2,2,4
198,4,2,1,2.115384578704834,3,3,4,2,4
198,4,3,1,2.115384578704834,3,2,2,1,2
198,4,1,1,2.115384578704834,1,3,1,3,3
198,3,1,1,2.115384578704834,3,1,2,2,2
198,1,3,1,2.115384578704834,0,3,0,4,2
198,3,1,1,2.115384578704834,0,4,2,3,0
198,2,1,1,2.115384578704834,3,1,2,2,3
198,2,1,1,2.115384578704834,1,2,2,0,2
198,3,3,1,2.115384578704834,2,2,2,2,2
198,1,3,1,2.115384578704834,2,1,3,2,1
198,1,3,1,2.115384578704834,3,1,2,1,3
198,2,1,1,2.115384578704834,3,2,2,0,1
198,4,3,1,2.115384578704834,3,1,2,2,3
198,1,2,1,2.115384578704834,2,2,0,3,1
198,1,3,1,2.115384578704834,2,2,4,1,2
198,4,4,1,2.115384578704834,2,3,1,2,0
198,3,1,1,2.115384578704834,2,2,4,2,0
198,2,2,1,2.115384578704834,2,3,2,2,2
198,3,5,1,2.115384578704834,0,2,2,3,1
198,4,2,1,2.115384578704834,1,2,2,1,0
198,2,2,1,2.115384578704834,1,2,2,2,2
198,3,2,1,2.115384578704834,3,2,4,3,3
198,4,2,1,2.115384578704834,2,2,1,1,2
198,2,0,1,2.115384578704834,1,1,3,2,1
198,4,3,1,2.115384578704834,2,1,2,2,2
198,2,1,1,2.115384578704834,2,2,2,4,0
198,4,2,1,2.115384578704834,2,1,0,4,3
198,2,3,1,2.115384578704834,1,3,0,2,1
198,2,2,1,2.115384578704834,0,1,3,1,2
198,1,5,1,2.115384578704834,2,4,3,2,3
199,2,3,0,1.7454545497894287,4,0,1,1,2
199,2,1,0,1.7454545497894287,2,4,2,2,2
199,2,2,0,1.7454545497894287,1,2,1,2,2
199,3,1,0,1.7454545497894287,2,3,0,2,1
199,2,3,0,1.7454545497894287,1,0,2,0,2
199,1,1,0,1.7454545497894287,4,4,0,4,2
199,1,2,0,1.7454545497894287,2,2,2,2,0
199,1,4,0,1.7454545497894287,2,2,1,0,3
199,2,3,0,1.7454545497894287,2,1,1,4,3
199,1,1,0,1.7454545497894287,4,2,2,0,2
199,1,1,0,1.7454545497894287,1,2,1,2,3
199,4,4,0,1.7454545497894287,2,4,1,3,2
199,1,2,0,1.7454545497894287,4,3,2,3,3
199,4,1,0,1.7454545497894287,2,0,3,3,1
199,4,1,0,1.7454545497894287,3,2,4,2,3
199,1,2,0,1.7454545497894287,1,3,4,1,2
199,3,1,0,1.7454545497894287,2,2,1,4,2
199,3,2,0,1.7454545497894287,3,1,2,1,4
199,1,0,0,1.7454545497894287,3,1,3,1,1
199,1,1,0,1.7454545497894287,1,1,4,2,4
199,1,2,0,1.7454545497894287,1,2,1,2,2
199,3,2,0,1.7454545497894287,4,0,3,3,4
199,2,3,0,1.7454545497894287,1,2,2,2,2
199,3,2,0,1.7454545497894287,1,2,0,2,3
199,3,0,0,1.7454545497894287,2,4,1,3,2
199,1,1,0,1.7454545497894287,4,1,2,2,1
199,2,4,0,1.7454545497894287,2,3,2,2,2
199,4,1,0,1.7454545497894287,2,1,2,4,1
199,3,2,0,1.7454545497894287,0,2,1,3,1
199,3,2,0,1.7454545497894287,3,2,2,0,0
199,4,3,0,1.7454545497894287,4,4,3,3,2
199,3,2,0,1.7454545497894287,2,2,2,2,3
199,2,1,0,1.7454545497894287,3,3,0,4,3
199,1,0,0,1.7454545497894287,2,1,0,2,1
199,2,2,0,1.7454545497894287,2,3,2,2,3
199,2,0,0,1.7454545497894287,3,2,2,0,1
199,3,2,0,1.7454545497894287,1,3,1,1,0
199,4,2,0,1.7454545497894287,0,0,2,2,2
199,1,2,0,1.7454545497894287,1,2,2,2,2
199,1,4,0,1.7454545497894287,2,1,2,1,0
199,2,0,0,1.7454545497894287,1,3,4,3,0
199,2,0,0,1.7454545497894287,2,2,2,3,2
199,4,3,0,1.7454545497894287,2,2,4,4,0
199,1,1,0,1.7454545497894287,1,1,4,4,3
199,3,3,0,1.7454545497894287,4,0,2,2,1
199,2,2,0,1.7454545497894287,3,3,2,4,2
199,2,2,0,1.7454545497894287,0,2,2,3,4
199,2,1,0,1.7454545497894287,3,2,0,2,0
199,1,1,0,1.7454545497894287,2,2,3,3,3
199,2,1,0,1.7454545497894287,2,3,4,1,2
199,4,1,0,1.7454545497894287,2,1,1,1,2
199,1,0,0,1.7454545497894287,2,2,2,3,4
199,3,3,0,1.7454545497894287,4,1,0,2,1
199,4,2,0,1.7454545497894287,2,3,2,3,1
199,1,3,0,1.7454545497894287,3,2,2,2,4
401,3,2,1,2.2564103603363037,3,3,2,2,3
401,4,3,1,2.2564103603363037,3,0,3,1,3
401,4,2,1,2.2564103603363037,2,0,2,0,4
401,2,3,1,2.2564103603363037,3,1,3,2,2
401,4,2,1,2.2564103603363037,1,2,3,2,2
401,2,2,1,2.2564103603363037,2,1,3,2,3
401,1,3,1,2.2564103603363037,3,3,3,2,2
401,4,3,1,2.2564103603363037,0,0,4,3,2
401,1,3,1,2.2564103603363037,2,0,3,0,1
401,3,2,1,2.2564103603363037,3,2,1,1,3
401,4,2,1,2.2564103603363037,0,3,2,2,3
401,4,2,1,2.2564103603363037,1,3,2,2,2
401,4,2,1,2.2564103603363037,1,0,0,2,3
401,4,2,1,2.2564103603363037,2,4,2,2,3
401,3,3,1,2.2564103603363037,2,2,2,1,1
401,3,1,1,2.2564103603363037,1,3,4,1,2
401,3,2,1,2.2564103603363037,3,1,4,2,4
401,3,3,1,2.2564103603363037,2,2,1,2,2
401,3,0,1,2.2564103603363037,0,1,2,3,3
401,2,0,1,2.2564103603363037,2,2,3,2,4
401,3,5,1,2.2564103603363037,4,4,2,1,2
401,4,2,1,2.2564103603363037,2,2,0,4,2
401,3,5,1,2.2564103603363037,2,4,1,2,4
401,3,1,1,2.2564103603363037,2,1,1,2,2
401,3,3,1,2.2564103603363037,0,2,1,2,0
401,3,4,1,2.2564103603363037,3,0,1,2,2
401,4,1,1,2.2564103603363037,1,0,1,4,3
401,2,1,1,2.2564103603363037,2,3,2,1,1
401,2,0,1,2.2564103603363037,4,2,0,3,4
401,3,2,1,2.2564103603363037,2,1,3,0,4
401,1,0,1,2.2564103603363037,1,3,2,2,2
401,4,3,1,2.2564103603363037,1,4,2,2,4
401,3,4,1,2.2564103603363037,2,1,2,2,2
401,4,2,1,2.2564103603363037,3,2,1,4,1
401,4,5,1,2.2564103603363037,2,3,3,2,1
401,3,1,1,2.2564103603363037,1,2,3,1,1
401,3,2,1,2.2564103603363037,2,2,2,2,2
401,1,2,1,2.2564103603363037,0,3,1,2,2
401,4,3,1,2.2564103603363037,0,2,3,1,1
402,3,3,0,2.4848484992980957,3,3,4,4,2
402,2,2,0,2.4848484992980957,2,1,1,3,2
402,4,3,0,2.4848484992980957,1,0,2,1,2
402,2,2,0,2.4848484992980957,2,4,2,1,2
402,4,4,0,2.4848484992980957,4,3,2,1,2
402,2,2,0,2.4848484992980957,2,1,4,2,2
402,4,4,0,2.4848484992980957,2,3,2,2,0
402,2,4,0,2.4848484992980957,3,2,3,3,0
402,3,2,0,2.4848484992980957,1,1,2,3,2
402,4,1,0,2.4848484992980957,2,2,0,2,3
402,1,2,0,2.4848484992980957,1,3,1,4,0
402,3,1,0,2.4848484992980957,1,2,4,4,4
402,2,4,0,2.4848484992980957,1,1,2,1,1
402,1,5,0,2.4848484992980957,4,0,0,1,2
402,4,2,0,2.4848484992980957,2,3,1,2,0
402,1,3,0,2.4848484992980957,3,1,2,2,3
402,4,3,0,2.4848484992980957,0,2,2,3,2
402,1,2,0,2.4848484992980957,4,0,3,2,4
402,2,1,0,2.4848484992980957,2,1,0,3,3
402,2,2,0,2.4848484992980957,2,2,3,1,0
402,3,2,0,2.4848484992980957,4,4,2,4,1
402,4,6,0,2.4848484992980957,2,2,3,2,1
402,3,0,0,2.4848484992980957,2,4,0,2,3
402,2,1,0,2.4848484992980957,2,2,2,2,0
402,2,2,0,2.4848484992980957,3,2,2,2,1
402,4,4,0,2.4848484992980957,2,2,3,2,2
402,1,2,0,2.4848484992980957,1,2,2,3,2
402,1,1,0,2.4848484992980957,2,2,2,2,2
402,2,3,0,2.4848484992980957,2,3,2,3,1
402,2,2,0,2.4848484992980957,2,3,3,2,3
402,1,2,0,2.4848484992980957,4,1,1,4,2
402,1,2,0,2.4848484992980957,3,3,2,2,2
402,2,3,0,2.4848484992980957,4,1,1,4,3
403,3,4,1,2.6956522464752197,2,3,1,3,1
403,3,4,1,2.6956522464752197,4,4,2,3,2
403,4,5,1,2.6956522464752197,2,3,3,2,2
403,4,3,1,2.6956522464752197,4,1,2,1,2
403,3,3,1,2.6956522464752197,1,2,4,1,0
403,3,0,1,2.6956522464752197,4,2,2,1,3
403,3,5,1,2.6956522464752197,4,3,2,4,2
403,4,1,1,2.6956522464752197,2,3,4,2,3
403,4,1,1,2.6956522464752197,3,2,4,3,1
403,3,2,1,2.6956522464752197,1,2,3,2,1
403,2,2,1,2.6956522464752197,2,2,3,1,3
403,2,0,1,2.6956522464752197,1,3,4,4,0
403,4,3,1,2.6956522464752197,4,3,2,4,2
403,4,3,1,2.6956522464752197,2,3,1,2,2
403,3,1,1,2.6956522464752197,2,2,1,3,3
403,4,4,1,2.6956522464752197,2,1,2,2,1
403,4,3,1,2.6956522464752197,0,1,2,2,2
403,3,3,1,2.6956522464752197,2,0,1,2,2
403,4,4,1,2.6956522464752197,2,3,1,4,1
403,4,3,1,2.6956522464752197,3,4,3,2,3
403,2,2,1,2.6956522464752197,2,1,2,2,1
403,4,4,1,2.6956522464752197,0,1,1,2,2
403,4,2,1,2.6956522464752197,4,1,0,0,1
404,3,3,1,1.600000023841858,4,2,0,2,1
404,1,1,1,1.600000023841858,2,0,4,2,2
404,4,2,1,1.600000023841858,3,2,2,2,2
404,1,0,1,1.600000023841858,2,2,3,2,2
404,4,4,1,1.600000023841858,3,2,0,0,2
404,3,2,1,1.600000023841858,2,4,2,2,2
404,2,2,1,1.600000023841858,0,4,4,3,3
404,3,1,1,1.600000023841858,1,2,4,3,4
404,4,2,1,1.600000023841858,2,4,1,2,2
404,2,2,1,1.600000023841858,1,3,1,2,2
404,2,1,1,1.600000023841858,2,3,2,1,4
404,4,2,1,1.600000023841858,2,4,1,3,2
404,3,1,1,1.600000023841858,0,2,4,1,4
404,3,1,1,1.600000023841858,3,1,3,4,2
404,3,1,1,1.600000023841858,0,1,1,4,4
404,2,4,1,1.600000023841858,2,2,1,4,2
404,2,1,1,1.600000023841858,1,0,2,2,2
404,3,1,1,1.600000023841858,4,1,3,2,1
404,4,0,1,1.600000023841858,1,3,3,3,2
404,1,1,1,1.600000023841858,2,3,1,3,2
404,3,2,1,1.600000023841858,1,0,1,0,2
404,3,2,1,1.600000023841858,2,1,2,2,2
404,4,1,1,1.600000023841858,1,2,2,1,2
404,3,2,1,1.600000023841858,1,1,2,3,2
404,2,1,1,1.600000023841858,1,2,2,2,3
405,3,2,0,2.269230842590332,2,2,3,2,3
405,1,1,0,2.269230842590332,2,0,2,3,2
405,2,2,0,2.269230842590332,0,1,2,2,0
405,4,4,0,2.269230842590332,3,3,1,2,2
405,1,1,0,2.269230842590332,1,4,2,2,3
405,1,2,0,2.269230842590332,2,0,2,1,2
405,4,5,0,2.269230842590332,2,2,2,3,2
405,1,1,0,2.269230842590332,1,0,4,2,1
405,4,1,0,2.269230842590332,2,1,2,2,4
405,3,4,0,2.269230842590332,1,1,4,2,1
405,3,1,0,2.269230842590332,1,3,1,3,1
405,4,4,0,2.269230842590332,3,1,2,4,2
405,3,2,0,2.269230842590332,3,3,2,3,2
405,1,1,0,2.269230842590332,4,2,1,2,2
405,2,0,0,2.269230842590332,2,2,1,3,1
405,4,2,0,2.269230842590332,3,2,1,2,3
405,3,2,0,2.269230842590332,0,2,0,1,0
405,4,4,0,2.269230842590332,2,1,3,2,1
405,2,3,0,2.269230842590332,2,3,1,2,1
405,1,2,0,2.269230842590332,2,0,2,3,3
405,2,2,0,2.269230842590332,2,2,2,1,1
405,4,2,0,2.269230842590332,2,2,2,4,2
405,2,3,0,2.269230842590332,1,1,1,4,3
405,3,0,0,2.269230842590332,2,2,3,2,4
405,1,2,0,2.269230842590332,2,0,2,2,2
405,4,3,0,2.269230842590332,2,1,0,1,2
405,1,2,0,2.269230842590332,2,2,3,3,2
405,2,3,0,2.269230842590332,3,0,3,3,4
405,4,4,0,2.269230842590332,2,0,2,1,2
405,4,4,0,2.269230842590332,3,1,2,0,1
405,4,2,0,2.269230842590332,0,1,3,1,2
405,4,2,0,2.269230842590332,3,1,2,3,1
405,3,3,0,2.269230842590332,1,1,0,1,3
405,3,2,0,2.269230842590332,1,4,1,3,2
405,1,1,0,2.269230842590332,2,2,1,3,4
405,4,2,0,2.269230842590332,4,2,1,2,4
405,1,1,0,2.269230842590332,4,2,1,2,0
405,2,2,0,2.269230842590332,2,0,1,1,2
405,4,5,0,2.269230842590332,2,2,3,1,1
405,1,1,0,2.269230842590332,2,1,2,2,1
405,1,1,0,2.269230842590332,3,3,3,2,3
405,1,4,0,2.269230842590332,4,3,4,1,2
405,2,2,0,2.269230842590332,3,4,2,1,2
405,4,5,0,2.269230842590332,2,3,1,3,4
405,3,3,0,2.269230842590332,0,1,2,3,2
405,1,2,0,2.269230842590332,2,0,1,2,3
405,2,0,0,2.269230842590332,3,2,2,0,4
405,1,2,0,2.269230842590332,3,1,2,2,2
405,2,3,0,2.269230842590332,1,4,2,1,1
405,2,3,0,2.269230842590332,3,4,3,2,2
405,1,2,0,2.269230842590332,2,3,2,2,2
405,3,1,0,2.269230842590332,1,2,3,0,3
407,4,2,0,1.9384615421295166,3,3,2,2,4
407,4,1,0,1.9384615421295166,1,3,1,1,1
407,2,1,0,1.9384615421295166,1,3,2,1,2
407,4,1,0,1.9384615421295166,3,2,4,3,2
407,3,1,0,1.9384615421295166,3,0,2,2,1
407,3,1,0,1.9384615421295166,2,3,0,2,1
407,1,0,0,1.9384615421295166,1,2,1,3,2
407,4,3,0,1.9384615421295166,3,2,2,3,2
407,4,3,0,1.9384615421295166,1,1,0,1,2
407,2,4,0,1.9384615421295166,2,2,2,1,1
407,1,3,0,1.9384615421295166,3,3,1,1,0
407,1,2,0,1.9384615421295166,1,2,1,2,2
407,4,2,0,1.9384615421295166,0,1,3,1,2
407,3,2,0,1.9384615421295166,4,2,2,3,2
407,2,2,0,1.9384615421295166,1,3,2,2,2
407,4,2,0,1.9384615421295166,2,1,0,1,2
407,2,2,0,1.9384615421295166,3,3,0,2,2
407,4,2,0,1.9384615421295166,2,3,3,1,1
407,2,2,0,1.9384615421295166,0,2,4,1,1
407,3,1,0,1.9384615421295166,2,3,3,1,4
407,3,3,0,1.9384615421295166,2,2,2,4,0
407,3,1,0,1.9384615421295166,1,3,1,2,4
407,3,1,0,1.9384615421295166,2,2,3,1,3
407,4,2,0,1.9384615421295166,4,2,0,1,3
407,3,2,0,1.9384615421295166,3,2,2,4,2
407,3,4,0,1.9384615421295166,3,4,3,2,4
407,4,1,0,1.9384615421295166,1,3,3,0,2
407,2,2,0,1.9384615421295166,2,4,2,0,3
407,1,1,0,1.9384615421295166,2,2,3,1,2
407,4,2,0,1.9384615421295166,2,4,3,3,2
407,1,3,0,1.9384615421295166,2,0,1,1,2
407,1,2,0,1.9384615421295166,3,3,1,2,2
407,2,1,0,1.9384615421295166,0,2,1,4,3
407,4,3,0,1.9384615421295166,4,4,2,2,2
407,4,1,0,1.9384615421295166,1,1,1,1,2
407,3,3,0,1.9384615421295166,1,4,1,0,3
407,4,1,0,1.9384615421295166,2,3,2,4,0
407,3,2,0,1.9384615421295166,2,2,1,4,0
407,1,1,0,1.9384615421295166,3,3,2,2,1
407,1,1,0,1.9384615421295166,1,2,3,2,1
407,4,0,0,1.9384615421295166,2,2,2,3,4
407,4,3,0,1.9384615421295166,3,3,4,1,1
407,2,5,0,1.9384615421295166,2,4,2,0,2
407,3,0,0,1.9384615421295166,3,1,1,1,3
407,4,2,0,1.9384615421295166,1,0,4,2,3
407,2,4,0,1.9384615421295166,2,1,2,4,0
407,4,1,0,1.9384615421295166,4,2,1,2,2
407,2,0,0,1.9384615421295166,3,2,1,3,0
407,4,3,0,1.9384615421295166,2,2,1,1,0
407,4,3,0,1.9384615421295166,3,2,1,4,4
407,2,2,0,1.9384615421295166,3,2,2,1,2
407,1,2,0,1.9384615421295166,2,1,2,4,2
407,1,1,0,1.9384615421295166,0,2,4,3,0
407,3,1,0,1.9384615421295166,4,2,3,0,1
407,4,5,0,1.9384615421295166,1,3,2,3,2
407,2,1,0,1.9384615421295166,3,2,0,1,1
407,4,3,0,1.9384615421295166,0,4,2,2,4
407,1,1,0,1.9384615421295166,2,1,3,0,2
407,3,3,0,1.9384615421295166,2,0,1,0,3
407,3,0,0,1.9384615421295166,2,2,0,2,2
407,4,2,0,1.9384615421295166,1,2,0,1,4
407,2,2,0,1.9384615421295166,1,0,1,0,2
407,4,2,0,1.9384615421295166,1,2,4,3,0
407,4,4,0,1.9384615421295166,3,2,2,1,3
407,3,2,0,1.9384615421295166,2,0,1,1,3
408,2,0,1,2.444444417953491,1,3,0,0,3
408,4,4,1,2.444444417953491,3,2,3,2,2
408,1,1,1,2.444444417953491,2,0,1,3,1
408,4,4,1,2.444444417953491,2,0,4,1,1
408,2,4,1,2.444444417953491,3,2,3,2,2
408,3,1,1,2.444444417953491,0,3,1,1,1
408,2,2,1,2.444444417953491,1,2,1,2,2
408,1,2,1,2.444444417953491,3,2,1,2,3
408,3,3,1,2.444444417953491,3,1,2,3,2
408,3,2,1,2.444444417953491,0,4,1,2,3
408,3,0,1,2.444444417953491,2,3,2,1,3
408,4,5,1,2.444444417953491,4,4,4,3,3
408,1,1,1,2.444444417953491,0,4,4,2,0
